IACO,IATA,NOMBRE,CIUDAD INGLES,CIUDAD ESPANOL,PAIS INGLES,PAIS ESPAÑOL,GRADOS LONGITUD,GRADOS LATITUD,ALTITUD,NULL
ESSL,LPI,SAAB,LINKOEPING,Linkoeping,SWEDEN,SUECIA,15.68,58.406,172,52.43
ESSM,,,BATTFORSHEDEN,BATTFORSHEDEN,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESSP,NRK,KUNGSANGEN,NORRKOEPING,NORRKOEPING,SWEDEN,SUECIA,16.251,58.586,32,9.75
ESSQ,KSD,,KARLSTAD,KARLSTAD,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESST,,TORSBY,TORSBY,Torsby,SWEDEN,SUECIA,12.991,60.158,389,118.57
ESSU,,ESKILSTUNA,ESKILSTUNA,ESKILSTUNA,SWEDEN,SUECIA,16.708,59.351,139,42.37
ESSV,VBY,VISBY,VISBY,VISBY,SWEDEN,SUECIA,18.346,57.663,167,50.9
ESSW,,,VASTERVIK,Västervik,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESSX,,,VASTERAS,VÄSTERÅS,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESSZ,,,VANGSO,VANGSO,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUA,,AMSELE,AMSELE,AMSELE,SWEDEN,SUECIA,19.314,64.571,700,213.36
ESUB,,,ARBRA,Arbra,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUD,,STORUMAN,MOHED,MOHED,SWEDEN,SUECIA,17.696,64.961,915,278.89
ESUE,,IDRE,IDRE,Idre,SWEDEN,SUECIA,12.691,61.869,1480,451.1
ESUF,,FALLFORS,FALLFORS,FALLFORS,SWEDEN,SUECIA,20.761,65.106,640,195.07
ESUG,,,GARGNAS,GARGNAS,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUH,,,HARNOSAND,Härnösand,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUJ,,,ANGE,ANGE,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUK,,KALIXFORS,KALIXFORS,KALIXFORS,SWEDEN,SUECIA,20.257,67.765,1550,472.44
ESUL,,,LJUSDAL,Ljusdal,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUR,,,RAMSELE,Ramsele,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUS,,,ASELE,ASELE,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUT,,HEMAVAN,HEMAVAN,Hemavan,SWEDEN,SUECIA,15.083,65.806,1503,458.11
ESUV,,,ALVSBYN,ALVSBYN,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESUY,,,EDSBYN,EDSBYN,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESVA,,,AVESTA,AVESTA,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESVG,,,GAGNEF,GAGNEF,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESVH,,,HALLEFORS,Hällefors,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESVK,,,KATRINEHOLM,Katrineholm,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESVM,,,MALUNG,MALUNG,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESVQ,,,KOPING,KÖPING,SWEDEN,SUECIA,0.0,0.0,0,0.0
ESVS,,,SILJANSAS,SILJANSAS,SWEDEN,SUECIA,0.0,0.0,0,0.0
ETAA,,,FRANKFURT,FRANKFURT,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETAD,SPM,SPANGDAHLEM AB,SPANGDAHLEM,Spangdahlem,GERMANY,ALEMANIA,6.692,49.973,1197,364.85
ETAR,RMS,RAMSTEIN AB,RAMSTEIN,Ramstein,GERMANY,ALEMANIA,7.601,49.438,782,238.35
ETAS,,,SEMBACH,Sembach,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETAV,,,SIEGENBURG,SIEGENBURG,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETBA,,,AACHEN,AACHEN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETBB,,,BUTZWEILERHOF,BUTZWEILERHOF,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETBW,,,WEIDEN,Weiden,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCC,,,GOCH,Goch,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCE,,,MESSSTETTEN,Meßstetten,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCH,,,HUERTH,Huerth,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCK,,,KALKAR,Kalkar,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCM,,,MUENSTER,Muenster,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCW,,,COLOGNE,COLONIA,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCX,,,MECHERNICH,Mechernich,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETCZ,,,FRANKFURT,FRANKFURT,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETEB,,,ANSBACH,Ansbach,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETED,,,KAISERSLAUTERN,KAISERSLAUTERN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETEE,,,HEIDELBERG,HEIDELBERG,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETEF,,,BABENHAUSEN,Babenhausen,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETEH,,,BAD KREUZNACH,Bad Kreuznach,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETEJ,,BAMBERG AAF,BAMBERG,BAMBERG,GERMANY,ALEMANIA,10.914,49.92,823,250.85
ETEK,,BAUMHOLDER AAF,BAUMHOLDER,Baumholder,GERMANY,ALEMANIA,7.3,49.65,1450,441.96
ETEP,,,BUEDINGEN,BUEDINGEN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETEU,GHF,GIEBELSTADT AAF,GIEBELSTADT,Giebelstadt,GERMANY,ALEMANIA,9.966,49.648,978,298.09
ETEW,,,FUERTH,FUERTH,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETEZ,,,GERMERSHEIM,Germersheim,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETFB,,,BREMEN,BREMEN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETFC,,,FRANKFURT,FRANKFURT,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETFD,,,DUESSELDORF,DUSSELDORF,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETFR,,,RAMSTEIN,Ramstein,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETFT,,,BERLIN,BERLIN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGA,,,ANKUM,Ankum,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGB,,,BERGEN,BERGEN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGE,,,EMDEN,Emden,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGF,,,FRITZLAR,Fritzlar,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGG,,,GLUECKSBURG,GLUECKSBURG,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGH,,,KOBLENZ,KOBLENZ,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGI,,,IDAR-OBERSTEIN,Idar-Oberstein,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGJ,,,JENGEN,JENGEN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGK,,,KUEMMERSBRUCK,KUEMMERSBRUCK,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGL,,,MUENSTER,Muenster,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGM,,,MEPPEN,Meppen,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGN,,,BREDESTEDT,BREDESTEDT,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGO,,,FUERSTENWALDE,Fuerstenwalde,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGP,,,PODSDAM,PODSDAM,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGR,,,MUENSTER,Muenster,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGS,,,SIGMARINGEN,SIGMARINGEN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGT,,,TRABEN-TRARBACH,TRABEN-TRARBACH,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGU,,,ULM,ULM,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGV,,,FUERSTENFELDBRUCK,Fuerstenfeldbruck,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGW,,,WITSTOCK,WITSTOCK,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGX,,,TRABEN-TRARBACH,TRABEN-TRARBACH,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGY,,,KALKAR,Kalkar,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETGZ,,,MESSSTETTEN,Meßstetten,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETHA,,,ALTENSTADT,Altenstadt,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETHB,,BUCKEBURG,BRUECKEBURG,BRUECKEBURG,GERMANY,ALEMANIA,9.082,52.278,230,70.1
ETHC,ZCN,CELLE,CELLE,CELLE,GERMANY,ALEMANIA,10.022,52.591,128,39.01
ETHE,,RHEINE BENTLAGE,RHEINE-BRENTLANGE,Rheine-BRENTLANGE,GERMANY,ALEMANIA,7.387,52.291,129,39.32
ETHF,,FRITZLAR,FRITZLAR,Fritzlar,GERMANY,ALEMANIA,9.286,51.114,566,172.52
ETHH,,,BONN,BONN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETHI,,ITZEHOE HUNGRIGER WOLF,ITZEHOE,Itzehoe,GERMANY,ALEMANIA,9.578,53.994,82,24.99
ETHL,,LAUPHEIM,LAUPHEIM,Laupheim,GERMANY,ALEMANIA,9.91,48.22,1766,538.28
ETHM,,MENDIG,MENDIG,Mendig,GERMANY,ALEMANIA,7.315,50.366,597,181.97
ETHN,,NIEDERSTETTEN,NIEDERSTETTEN,Niederstetten,GERMANY,ALEMANIA,9.958,49.392,1536,468.17
ETHR,,ROTH,ROTH,ROTH,GERMANY,ALEMANIA,11.101,49.218,1268,386.49
ETHS,,FASSBERG,FASSBERG,Fassberg,GERMANY,ALEMANIA,10.184,52.919,245,74.68
ETHT,,COTTBUS,COTTBUS,COTTBUS,GERMANY,ALEMANIA,14.292,51.768,227,69.19
ETIC,,GRAFENWOHR AAF,GRAFENWOEHR,Grafenwoehr,GERMANY,ALEMANIA,11.941,49.699,1363,415.44
ETID,ZNF,HANAU AAF,HANAU,HANAU,GERMANY,ALEMANIA,8.961,50.169,368,112.17
ETIE,QHD,HEIDELBERG AAF,HEIDELBERG,HEIDELBERG,GERMANY,ALEMANIA,8.652,49.393,358,109.12
ETIH,,HOHENFELS AAF,HOHENFELS,Hohenfels,GERMANY,ALEMANIA,11.836,49.218,1455,443.48
ETIK,,,ILLESHEIM,ILLESHEIM,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETIN,,KITZINGEN AAF,KITZINGEN,Kitzingen,GERMANY,ALEMANIA,10.201,49.743,689,210.01
ETIP,,,LANDSTUHL,Landstuhl,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETIT,,,NUERNBERG,NUERNBERG,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETIU,,,HEIDELBERG,HEIDELBERG,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETIY,,,LANDSTUHL,Landstuhl,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETJA,,,KALKAR,Kalkar,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETJC,,,MESSSTETTEN,Meßstetten,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETME,,EGGEBEK,EGGEBECK,EGGEBECK,GERMANY,ALEMANIA,9.341,54.625,65,19.81
ETMK,,,KIEL,KIEL,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETMN,,NORDHOLZ,NORDHOLZ,Nordholz,GERMANY,ALEMANIA,8.658,53.768,74,22.56
ETNA,,,AHLHORN,Ahlhorn,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETND,,DIEPHOLZ,DIEPHOLZ,Diepholz,GERMANY,ALEMANIA,8.341,52.585,127,38.71
ETNG,GKE,GEILENKIRCHEN,GEILENKIRCHEN,Geilenkirchen,GERMANY,ALEMANIA,6.042,50.961,296,90.22
ETNH,,HOHN,HOHN,Hohn,GERMANY,ALEMANIA,9.538,54.312,39,11.89
ETNI,,,BRIEST,Briest,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETNJ,,JEVER,JEVER,JEVER,GERMANY,ALEMANIA,7.889,53.533,24,7.32
ETNK,,,COLOGNE,COLONIA,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETNL,RLG,LAAGE,LAAGE,Laage,GERMANY,ALEMANIA,12.279,53.918,138,42.06
ETNN,,NORVENICH,NOERVENICH,NOERVENICH,GERMANY,ALEMANIA,6.658,50.831,386,117.65
ETNP,,HOPSTEN,HOPSTEN,Hopsten,GERMANY,ALEMANIA,7.541,52.339,129,39.32
ETNR,,PRESCHEN,PRESCHEN,PRESCHEN,GERMANY,ALEMANIA,14.634,51.664,334,101.8
ETNS,,SCHLESWIG,SCHLESWIG,SCHLESWIG,GERMANY,ALEMANIA,9.516,54.459,73,22.25
ETNT,,WITTMUNDHAFEN,WITTMUNDHAFEN,WITTMUNDHAFEN,GERMANY,ALEMANIA,7.667,53.548,26,7.93
ETNU,,NEUBRANDENBURG,NEUBRANDENBURG,Neubrandenburg,GERMANY,ALEMANIA,13.306,53.602,228,69.49
ETNW,,WUNSTORF,WUNSTORF,Wunstorf,GERMANY,ALEMANIA,9.427,52.457,187,57.0
ETOA,,,SCHWEINFURT,SCHWEINFURT,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETOC,,,ECHTERDINGEN,Echterdingen,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETOI,,VILSECK AAF,VILSECK,Vilseck,GERMANY,ALEMANIA,11.767,49.634,1353,412.39
ETOJ,,,BONN,BONN,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETOK,,,FRANKFURT,FRANKFURT,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETOM,,,WORMS,WORMS,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETOQ,,,HEIDELBERG,HEIDELBERG,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETOR,,COLEMAN AAF,COLEMAN,COLEMAN,GERMANY,ALEMANIA,8.463,49.563,309,94.18
ETOU,,WIESBADEN AAF,WIESBADEN,WIESBADEN,GERMANY,ALEMANIA,8.325,50.05,461,140.51
ETOW,,,WILDFLECKEN,Wildflecken,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETOY,,,LEIGHTON BARRACKS,Leighton CUARTEL,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETRA,,,GOCH,Goch,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETRB,,,GLUECKSBURG,GLUECKSBURG,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETSA,,LANDSBERG LECH,LANDSBERG,Landsberg,GERMANY,ALEMANIA,10.906,48.071,2044,623.01
ETSB,,BUCHEL,BUECHEL,Buechel,GERMANY,ALEMANIA,7.063,50.174,1568,477.93
ETSE,,ERDING,ERDING,ERDING,GERMANY,ALEMANIA,11.949,48.322,1515,461.77
ETSF,FEL,FURSTENFELDBRUCK,FUERSTENFELDBRUCK,Fuerstenfeldbruck,GERMANY,ALEMANIA,11.267,48.206,1703,519.07
ETSH,,HOLZDORF,HOLZDORF,Holzdorf,GERMANY,ALEMANIA,13.167,51.768,266,81.08
ETSI,,INGOLSTADT MANCHING,INGOLSTADT,INGOLSTADT,GERMANY,ALEMANIA,11.534,48.716,1202,366.37
ETSL,,LECHFELD,LECHFELD,Lechfeld,GERMANY,ALEMANIA,10.862,48.186,1821,555.04
ETSM,,MEMMINGEN,MEMMINGEN,Memmingen,GERMANY,ALEMANIA,10.239,47.989,2081,634.29
ETSN,,NEUBURG,NEUBURG,Neuburg,GERMANY,ALEMANIA,11.211,48.711,1249,380.7
ETSP,,,PFERDSFELD,Pferdsfeld,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETUD,,,DETMOLD,Detmold,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETUK,,,RHEINDAHLEN,Rheindahlen,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETUL,LRC,LAARBRUCH,LAARBRUCH,Laarbruch,GERMANY,ALEMANIA,6.142,51.602,105,32.0
ETUN,,,NORDHORN RANGE,Nordhorn GAMA,GERMANY,ALEMANIA,0.0,0.0,0,0.0
ETUO,GUT,GUTERSLOH,GUETERSLOH,Guetersloh,GERMANY,ALEMANIA,8.306,51.923,236,71.93
ETUR,BGN,BRUGGEN,BRUEGGEN,BRUEGGEN,GERMANY,ALEMANIA,6.132,51.2,241,73.46
FAAB,ALJ,ALEXANDER BAY,ALEXANDER BAY,ALEXANDER BAY,SOUTH AFRICA,SUDÁFRICA,16.533,-28.575,98,29.87
FAAE,,,ABERDEEN,ABERDEEN,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAAG,AGZ,AGGENEYS,AGGENEYS,AGGENEYS,SOUTH AFRICA,SUDÁFRICA,18.814,-29.282,2648,807.11
FAAN,,,ALIWAL NORTH,Aliwal NORTE,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAAP,,ARNOT POWER STATION,ARNOT POWER STATION,Arnot Power Station,SOUTH AFRICA,SUDÁFRICA,29.81,-25.944,5578,1700.17
FAAR,ADI,,ARANDIS,Arandis,NAMIBIA,Namibia,0.0,0.0,0,0.0
FAAS,,,AUAS,AUAS,NAMIBIA,Namibia,0.0,0.0,0,0.0
FABA,,,BASAROOT,BASAROOT,NAMIBIA,Namibia,0.0,0.0,0,0.0
FABB,,BRAKPAN,BRAKPAN,Brakpan,SOUTH AFRICA,SUDÁFRICA,28.302,-26.239,5300,1615.44
FABC,,,BETHANIEN,Bethanien,NAMIBIA,Namibia,0.0,0.0,0,0.0
FABD,,,BURGERSDORP,Burgersdorp,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABE,VIY,BISHO,BISHO,Bisho,SOUTH AFRICA,SUDÁFRICA,27.279,-32.897,1950,594.36
FABF,,,BEDFORD,BEDFORD,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABH,,,BETHAL,Bethal,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABJ,,,BITTERWASSER,BITTERWASSER,NAMIBIA,Namibia,0.0,0.0,0,0.0
FABK,,,BLOEMHOF,Bloemhof,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABL,BFN,BLOEMFONTEIN,BLOEMFONTEIN,Bloemfontein,SOUTH AFRICA,SUDÁFRICA,26.302,-29.092,4458,1358.8
FABM,,BETHLEHEM,BETHLEHEM,BELÉN,SOUTH AFRICA,SUDÁFRICA,28.336,-28.248,5561,1694.99
FABN,,,BARBERTON,Barberton,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABO,,BOTHAVILLE,BOTHAVILLE,BOTHAVILLE,SOUTH AFRICA,SUDÁFRICA,26.629,-27.367,4236,1291.13
FABP,,,BULTFONTEIN,BULTFONTEIN,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABR,,,BREDASDORP,BREDASDORP,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABS,,,BRITS,Brits,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABU,,,BUTTERWORTH,BUTTERWORTH,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABV,,,BRANDVLEI,BRANDVLEI,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABW,,,BEAUFORT WEST,Beaufort West,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABX,,,BEATRIX MINE,BEATRIX MINA,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FABZ,,,BIZANA,BIZANA,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACA,,,MONTE CARLO,MONTE CARLO,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACB,,,COLESBURG,COLESBURG,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACC,,,CATHCART,Cathcart,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACD,,,CRADOCK,Cradock,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACH,,,COOKHOUSE,Picantería,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACK,,,CLOCOLAN,CLOCOLAN,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACN,,,CARNAVON,Carnavon,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACO,,,COPPERTON,COPPERTON,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FACR,,CARLETONVILLE,CARLETONVILLE,Carletonville,SOUTH AFRICA,SUDÁFRICA,27.35,-26.369,5000,1524.0
FACT,CPT,CAPE TOWN INTERNATIONAL,CAPE TOWN,CIUDAD DEL CABO,SOUTH AFRICA,SUDÁFRICA,18.602,-33.965,151,46.03
FACV,,CALVINIA,CALVINIA,Calvinia,SOUTH AFRICA,SUDÁFRICA,19.726,-31.5,3250,990.6
FACW,,,CLANWILLIAM,Clanwilliam,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADA,,DE AAR MILITARY,DE AAR,De Aar,SOUTH AFRICA,SUDÁFRICA,23.92,-30.637,4012,1222.86
FADB,,DWAALBOOM,DWAALBOOM,DWAALBOOM,SOUTH AFRICA,SUDÁFRICA,26.832,-24.805,3650,1112.52
FADC,,,DOUGLAS COLLIERY,DOUGLAS mina de carbón,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADD,,DUNDEE,DUNDEE,DUNDEE,SOUTH AFRICA,SUDÁFRICA,30.224,-28.182,4220,1286.26
FADE,,,DELMAS,DELMAS,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADG,,,DORDRECHT,DORDRECHT,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADH,,,DURNACOL,DURNACOL,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADI,,,DUWISIB,DUWISIB,NAMIBIA,Namibia,0.0,0.0,0,0.0
FADL,,,DALAREYVILLE,DALAREYVILLE,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADM,,,KOKSTAD,Kokstad,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADN,DUR,DURBAN INTERNATIONAL,DURBAN,DURBAN,SOUTH AFRICA,SUDÁFRICA,30.95,-29.97,33,10.06
FADO,,,DENDRON,Dendron,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADR,,,DUNNOTTAR,Dunnottar,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FADS,,,DORDABIS,DORDABIS,NAMIBIA,Namibia,0.0,0.0,0,0.0
FADV,,,DEVON,DEVON,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAEC,,,ESTCOURT,ESTCOURT,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAED,,,EDENBURG,Edenburg,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAEG,,,EGNEP,EGNEP,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAEL,ELS,EAST LONDON,EAST LONDON,EAST LONDON,SOUTH AFRICA,SUDÁFRICA,27.826,-33.036,435,132.59
FAEM,,,EMPANGENI,Empangeni,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAEO,,ERMELO,ERMELO,Ermelo,SOUTH AFRICA,SUDÁFRICA,29.98,-26.495,5700,1737.36
FAER,ELL,ELLISRAS,ELLISRAS,ELLISRAS,SOUTH AFRICA,SUDÁFRICA,27.688,-23.726,2950,899.16
FAES,,,ESHOWE,Eshowe,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAET,,,ELLIOT,ELLIOT,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAFA,,,JAEGERSFONTEIN,JAEGERSFONTEIN,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAFB,,FICKSBURG SENTRAOES,FICKSBURG,Ficksburg,SOUTH AFRICA,SUDÁFRICA,27.909,-28.823,5315,1620.01
FAFF,,,FRANKFORT,FRANKFORT,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAFK,,,FISANTEKRAAL,Fisantékraal,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAFO,,,FORT BEAUFORT,Fort Beaufort,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAFR,,,FRASERBURG,FRASERBURG,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGA,,,GRANGE THE,LA GRANGE,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGB,,,GOBABIS,Gobabis,NAMIBIA,Namibia,0.0,0.0,0,0.0
FAGC,GCJ,GRAND CENTRAL,JOHANNESBURG,JOHANNESBURGO,SOUTH AFRICA,SUDÁFRICA,28.14,-25.986,5327,1623.67
FAGE,,,GOGH ISLAND,ISLA GOGH,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGF,GFY,,GROOTFONTEIN,Grootfontein,NAMIBIA,Namibia,0.0,0.0,0,0.0
FAGG,GRJ,GEORGE,GEORGE,GEORGE,SOUTH AFRICA,SUDÁFRICA,22.379,-34.005,648,197.51
FAGH,,,GLEN GRAY,Glen Gray,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGI,,GIYANI,GIYANI,Giyani,SOUTH AFRICA,SUDÁFRICA,30.65,-23.284,1575,480.06
FAGJ,,,GIFVLEI,GIFVLEI,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGL,,,GROBLERSDAL,Groblersdal,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGM,HCS,RAND,JOHANNESBURG,JOHANNESBURGO,SOUTH AFRICA,SUDÁFRICA,28.151,-26.242,5568,1697.13
FAGO,,,GOWRIE,Gowrie,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGR,,,GRAAFF REINET,Graaff Reinet,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGS,,,GIANTS CASTLE GAME,GIGANTES DEL JUEGO CASTILLO,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGT,,GRAHAMSTOWN,GRAHAMSTOWN,Grahamstown,SOUTH AFRICA,SUDÁFRICA,26.498,-33.285,2135,650.75
FAGV,,,GRAVELOTTE,Gravelotte,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGW,,,MAGWA,Magwa,SOUTH AFRICA,SUDÁFRICA,0.0,0.0,0,0.0
FAGY,,GREYTOWN,GREYTOWN,San Juan del Norte,SOUTH AFRICA,SUDÁFRICA,30.587,-29.122,3531,1076.25
FAHA,,HARMONY,HARMONY,ARMONÍA,SOUTH AFRICA,SUDÁFRICA,26.861,-28.079,4086,1245.41
